P     H     T_EJEC_AVG   FITNESS_AVG        EFICIENCIA_I
2     1     6.2600       4047189.0066       646515.815750
2     2     3.9633       4047142.6966       1021154.769157
2     4     4.4033       4047016.1733       919087.087706
2     6     4.4933       4045594.8200       900361.609507
2     8     4.5000       4045449.8500       898988.855555
2     10    4.5200       4045358.7466       894990.873141
4     1     4.5033       4047830.0500       898858.625896
4     2     3.8400       4046706.8333       1053829.904505
4     4     4.5033       4045361.5600       898310.474540
4     6     5.3266       4049120.9633       760169.895111
4     8     6.1000       4043908.6233       662935.839885
4     10    3.3633       4049553.0900       1204041.593078
6     1     5.5766       4047512.7433       725802.952211
6     2     4.5300       4049383.8133       893903.711545
6     4     5.7633       4047877.7700       702354.166883
6     6     6.9166       4048004.8033       585259.347555
6     8     8.0666       4048860.2400       501928.971313
6     10    4.1200       4047362.8100       982369.614077
8     1     5.6100       4049708.0266       721873.088520
8     2     6.0333       4047450.8466       670851.912982
8     4     7.3433       4046807.9500       551088.468399
8     6     8.9700       4047218.9866       451194.981783
8     8     10.6133      4045658.5833       381187.621503
8     10    5.1100       4045214.7933       791627.161115
10    1     5.9933       4047268.6633       675298.860944
10    2     6.2000       4046351.4133       652637.324725
10    4     8.5200       4046290.1333       474916.682312
10    6     10.5366      4050841.8133       384454.360353
10    8     12.6200      4045059.1000       320527.662440
10    10    5.6566       4046536.8466       715365.563518

