bytes,h2d_mb_s,dtod_mb_s,dtoh_mb_s,mean_mb_s
1024,290.63,717.14,373.90999999999997,460.56
525312,2642.91,15119.94,2626.17,6796.34
1049600,2639.79,14036.24,2618.66,6431.5633333333335
1573888,2748.49,14158.3,2829.81,6578.866666666667
2098176,2763.79,14190.42,2847.41,6600.54
2622464,2837.4,14244.32,2951.17,6677.63
3146752,2860.89,14297.619999999999,2899.22,6685.91
3671040,2859.94,14298.8,2976.21,6711.65
4195328,2824.76,14315.61,2980.07,6706.8133333333335
4719616,2835.25,14343.59,3001.08,6726.64
5243904,2891.35,14353.6,3026.79,6757.246666666667
5768192,2904.43,14363.119999999999,3065.92,6777.823333333333
6292480,2891.25,14367.87,2997.64,6752.253333333334
6816768,2929.0299999999997,14381.13,3041.64,6783.9333333333325
7341056,2914.41,14394.369999999999,3066.3,6791.693333333333
7865344,2909.23,14399.89,3096.63,6801.916666666666
8389632,2915.06,14396.31,3084.41,6798.593333333333
8913920,2880.14,14412.17,3095.07,6795.793333333333
9438208,2923.54,14413.869999999999,3092.59,6810.0
9962496,2928.5,14421.619999999999,3121.47,6823.863333333333
10486784,2931.54,14409.89,3100.8199999999997,6814.083333333333
11011072,2938.1800000000003,14419.65,3114.2200000000003,6824.016666666666
11535360,2930.8,14426.1,3105.36,6820.753333333334
12059648,2935.45,14430.4,3179.1,6848.316666666667
12583936,2838.6099999999997,14423.65,3119.7799999999997,6794.013333333333
13108224,2845.59,14425.34,3104.63,6791.8533333333335
13632512,2941.31,14425.71,3123.2,6830.073333333333
14156800,2839.17,14425.21,3111.2,6791.86
14681088,2807.9,14427.58,3108.62,6781.366666666667
15205376,2914.29,14427.73,3111.61,6817.876666666667
15729664,2916.1,14426.83,3006.27,6783.066666666667
16253952,2904.71,14425.6,3111.3,6813.87
16778240,2910.93,14439.05,3137.86,6829.28
17302528,2948.61,14439.53,3181.68,6856.606666666667
17826816,2934.01,14442.18,3150.65,6842.280000000001
18351104,2914.18,14441.55,3184.52,6846.75
18875392,2917.7,14429.38,3161.65,6836.243333333333
19399680,2951.15,14452.37,3146.21,6849.91
19923968,2923.8,14454.34,3154.15,6844.096666666666
20448256,2928.87,14454.35,3153.66,6845.626666666667
20972544,2919.94,14437.6,3174.81,6844.116666666667
21496832,2912.49,14434.38,3195.99,6847.62
22021120,2912.95,14434.58,3148.73,6832.086666666666
22545408,2892.42,14432.84,3180.43,6835.23
23069696,2911.41,14429.49,3180.23,6840.376666666667
23593984,2911.18,14433.73,3186.19,6843.7
24118272,2922.09,14433.64,3176.34,6844.0233333333335
24642560,2935.43,14435.3,3178.92,6849.883333333333
25166848,2948.08,14430.87,3194.94,6857.963333333333
25691136,2932.65,14435.33,3170.66,6846.213333333333
26215424,2965.98,14438.43,3196.21,6866.873333333333
26739712,2949.26,14430.77,3173.06,6851.030000000001
27264000,2842.55,14440.08,3179.04,6820.556666666666
27788288,2922.33,14438.5,3203.77,6854.866666666667
28312576,2823.83,14434.39,3157.25,6805.156666666667
28836864,2905.4,14439.73,3205.19,6850.106666666667
29361152,2915.95,14429.869999999999,3175.2,6840.339999999999
29885440,2880.7799999999997,14432.2,3194.86,6835.946666666667
30409728,2898.68,14437.48,3201.54,6845.9
30934016,2924.39,14434.13,3177.68,6845.4
31458304,2929.22,14421.62,3206.5,6852.446666666667
31982592,2949.7,14420.630000000001,3226.17,6865.5
32506880,2966.61,14422.47,3206.7,6865.26
33031168,2967.84,14421.06,3211.93,6866.943333333333
33555456,2955.59,14431.27,3206.65,6864.503333333334
34079744,2956.46,14434.56,3216.5099999999998,6869.176666666666
34604032,2960.96,14432.64,3206.04,6866.546666666666
35128320,2901.64,14430.22,3220.9,6850.92
35652608,2959.55,14441.65,3203.72,6868.306666666666
36176896,2964.18,14445.22,3221.93,6877.11
36701184,2969.8,14443.99,3206.11,6873.3
37225472,2965.96,14441.26,3202.04,6869.753333333333
37749760,2967.25,14439.19,3219.66,6875.366666666667
38274048,2966.55,14443.1,3217.5299999999997,6875.7266666666665
38798336,2970.26,14444.46,3221.7599999999998,6878.826666666666
39322624,2965.6,14442.34,3209.56,6872.5
39846912,2929.85,14439.5,3206.84,6858.73
40371200,2919.5699999999997,14439.12,3221.65,6860.113333333334
40895488,2901.01,14440.3,3210.17,6850.493333333333
41419776,2902.25,14440.77,3214.62,6852.546666666667
41944064,2939.21,14442.26,3215.04,6865.503333333333
42468352,2953.24,14447.35,3210.96,6870.516666666666
42992640,2956.87,14445.91,3156.54,6853.106666666667
43516928,2956.16,14442.84,3156.34,6851.78
44041216,2963.77,14446.92,3169.09,6859.926666666666
44565504,2968.12,14448.81,3212.63,6876.5199999999995
45089792,2960.72,14449.6,3226.95,6879.09
45614080,2937.54,14447.53,3201.56,6862.21
46138368,2946.84,14446.89,3209.0299999999997,6867.586666666666
46662656,2922.0,14447.09,3202.81,6857.3
47186944,2932.14,14448.07,3212.09,6864.1
47711232,2948.89,14448.4,3229.8,6875.696666666667
48235520,2962.5299999999997,14451.18,3217.36,6877.0233333333335
48759808,2965.57,14451.95,3228.27,6881.93
49284096,2956.34,14454.76,3221.68,6877.593333333333
49808384,2933.5299999999997,14452.19,3211.06,6865.593333333333
50332672,2938.22,14443.76,3212.51,6864.83
50856960,2960.94,14446.81,3218.5299999999997,6875.426666666666
51381248,2948.2799999999997,14447.44,3209.74,6868.486666666667
51905536,2951.5699999999997,14445.88,3216.95,6871.466666666666
52429824,2890.27,14451.78,3211.55,6851.200000000001
52954112,2886.24,14455.07,3204.05,6848.453333333333
53478400,2909.13,14449.95,3223.8,6860.96
54002688,2949.27,14454.039999999999,3213.71,6872.34
54526976,2956.51,14457.72,3215.5099999999998,6876.58
55051264,2912.67,14458.55,3220.48,6863.9
55575552,2918.93,14456.79,3219.01,6864.91
56099840,2917.16,14456.8,3215.01,6862.99
56624128,2925.36,14454.3,3223.68,6867.78
57148416,2968.22,14454.48,3159.34,6860.68
57672704,2968.3,14450.65,3197.82,6872.256666666666
58196992,2963.57,14455.4,3226.25,6881.74
58721280,2959.3,14460.78,3216.61,6878.896666666667
59245568,2963.38,14459.35,3229.95,6884.2266666666665
59769856,2959.26,14459.57,3218.66,6879.163333333333
60294144,2972.83,14461.51,3228.54,6887.626666666667
60818432,2967.82,14465.24,3214.55,6882.536666666667
61342720,2951.44,14467.15,3224.72,6881.1033333333335
61867008,2924.84,14467.25,3221.33,6871.14
62391296,2960.7,14466.82,3226.56,6884.693333333333
62915584,2976.54,14465.95,3224.57,6889.02
63439872,2975.38,14464.57,3228.51,6889.486666666667
63964160,2966.74,14465.98,3224.2,6885.639999999999
64488448,2974.5,14464.22,3225.46,6888.0599999999995
65012736,2969.48,14460.130000000001,3224.73,6884.780000000001
65537024,2973.91,14460.15,3228.06,6887.373333333333
66061312,2977.44,14462.7,3217.57,6885.903333333334
66585600,2968.58,14462.47,3222.69,6884.58
