bytes,h2d_mb_s,dtod_mb_s,dtoh_mb_s,mean_mb_s
1024,444.14,707.38,589.1,580.2066666666667
525312,2929.8,15117.66,3251.9,7099.786666666667
1049600,2913.94,14016.16,3215.14,6715.08
1573888,2928.9,14154.56,3244.8,6776.086666666666
2098176,2937.62,14176.8,3244.26,6786.2266666666665
2622464,2952.38,14234.54,3261.52,6816.146666666667
3146752,2957.28,14277.48,3255.52,6830.093333333333
3671040,2950.76,14281.6,3242.48,6824.946666666667
4195328,2953.04,14318.08,3264.98,6845.366666666667
4719616,2961.24,14332.76,3266.38,6853.46
5243904,2933.28,14343.04,3285.44,6853.92
5768192,2952.62,14351.72,3274.36,6859.566666666667
6292480,2953.5,14360.56,3249.4,6854.486666666667
6816768,2974.9,14373.0,3252.7599999999998,6866.886666666666
7341056,2941.04,14378.18,3288.88,6869.366666666667
7865344,2941.02,14395.2,3279.06,6871.76
8389632,2976.54,14391.36,3275.62,6881.173333333333
8913920,2972.7200000000003,14404.76,3267.6,6881.693333333334
9438208,2947.28,14411.56,3269.92,6876.253333333333
9962496,2953.98,14415.24,3287.54,6885.586666666666
10486784,2960.7,14404.26,3259.8199999999997,6874.926666666666
11011072,2976.3,14416.36,3241.02,6877.893333333333
11535360,2946.38,14425.960000000001,3266.38,6879.573333333334
12059648,2960.86,14429.36,3291.22,6893.8133333333335
12583936,2978.5,14422.54,3267.48,6889.506666666667
13108224,2972.76,14423.76,3282.6,6893.04
13632512,2974.0,14423.6,3290.56,6896.053333333333
14156800,2974.82,14423.6,3236.8,6878.406666666667
14681088,2979.7799999999997,14428.26,3242.88,6883.64
15205376,2976.64,14427.42,3285.2599999999998,6896.44
15729664,2977.02,14428.5,3296.44,6900.653333333334
16253952,2956.04,14424.66,3291.64,6890.78
16778240,2977.2400000000002,14437.2,3297.88,6904.106666666667
17302528,2969.58,14439.52,3288.16,6899.086666666667
17826816,2966.7,14439.7,3293.54,6899.9800000000005
18351104,2957.16,14442.199999999999,3261.92,6887.093333333333
18875392,2956.6,14430.960000000001,3282.6,6890.053333333333
19399680,2968.88,14453.5,3276.5,6899.626666666667
19923968,2963.76,14452.52,3295.86,6904.046666666667
20448256,2950.0,14451.6,3272.4,6891.333333333334
20972544,2973.74,14438.14,3283.0,6898.293333333333
21496832,2963.52,14433.46,3296.12,6897.7
22021120,2974.46,14433.68,3295.28,6901.14
22545408,2979.72,14434.52,3275.58,6896.606666666667
23069696,2953.14,14428.48,3287.32,6889.6466666666665
23593984,2948.2599999999998,14433.66,3271.16,6884.36
24118272,2978.42,14432.78,3262.1,6891.1
24642560,2978.78,14436.279999999999,3265.56,6893.54
25166848,2979.54,14431.02,3270.32,6893.626666666667
25691136,2980.4,14436.14,3263.02,6893.1866666666665
26215424,2978.62,14438.06,3270.6,6895.76
26739712,2971.76,14428.26,3232.02,6877.346666666666
27264000,2982.7400000000002,14440.54,3256.98,6893.42
27788288,2972.54,14439.94,3283.76,6898.746666666667
28312576,2980.8,14425.68,3285.9,6897.46
28836864,2981.22,14440.42,3276.5,6899.38
29361152,2978.44,14430.24,3284.1,6897.593333333333
29885440,2962.44,14438.74,3264.72,6888.633333333333
30409728,2960.9,14437.02,3276.7,6891.54
30934016,2968.68,14434.26,3282.94,6895.293333333333
31458304,2969.1,14418.6,3278.44,6888.713333333333
31982592,2968.86,14422.82,3301.74,6897.806666666666
32506880,2973.22,14424.039999999999,3274.66,6890.639999999999
33031168,2972.68,14422.539999999999,3278.22,6891.1466666666665
33555456,2958.0,14430.5,3273.22,6887.24
34079744,2967.94,14435.9,3280.02,6894.62
34604032,2971.8,14432.2,3270.4,6891.466666666667
35128320,2968.72,14425.9,3289.24,6894.62
35652608,2974.9,14439.619999999999,3264.68,6893.066666666667
36176896,2968.44,14444.3,3290.28,6901.006666666666
36701184,2977.04,14443.66,3267.44,6896.046666666667
37225472,2976.9,14440.94,3252.02,6889.953333333334
37749760,2975.7000000000003,14434.300000000001,3293.86,6901.286666666667
38274048,2971.8,14442.76,3277.2599999999998,6897.2733333333335
38798336,2975.64,14444.84,3296.08,6905.52
39322624,2976.4,14441.9,3261.0,6893.1
39846912,2974.7400000000002,14440.16,3274.26,6896.386666666667
40371200,2981.0,14438.460000000001,3287.58,6902.346666666667
40895488,2977.92,14439.98,3272.92,6896.94
41419776,2962.42,14439.92,3269.96,6890.766666666666
41944064,2977.78,14443.18,3280.44,6900.466666666667
42468352,2964.66,14450.1,3267.4,6894.053333333333
42992640,2954.34,14448.28,3276.52,6893.046666666667
43516928,2951.58,14443.2,3275.4,6890.06
44041216,2969.58,14447.9,3291.7200000000003,6903.066666666667
44565504,2969.5,14451.16,3276.1,6898.92
45089792,2959.28,14447.22,3304.24,6903.58
45614080,2964.8,14449.08,3273.38,6895.753333333333
46138368,2960.46,14448.08,3282.98,6897.173333333333
46662656,2964.56,14447.1,3261.12,6890.926666666666
47186944,2969.58,14448.24,3289.2599999999998,6902.36
47711232,2963.0,14448.44,3299.82,6903.753333333334
48235520,2961.06,14453.46,3280.98,6898.5
48759808,2957.66,14449.56,3292.98,6900.066666666667
49284096,2953.06,14454.38,3292.04,6899.826666666666
49808384,2968.2,14452.88,3263.02,6894.7
50332672,2956.04,14438.48,3269.84,6888.12
50856960,2957.58,14448.64,3274.14,6893.453333333333
51381248,2958.9,14445.88,3264.42,6889.733333333334
51905536,2964.56,14447.84,3274.3,6895.566666666667
52429824,2960.3,14450.76,3270.86,6893.973333333333
52954112,2960.5,14455.62,3253.32,6889.8133333333335
53478400,2961.28,14454.3,3291.92,6902.5
54002688,2966.34,14454.6,3270.6,6897.18
54526976,2962.96,14458.96,3272.44,6898.12
55051264,2958.68,14460.34,3277.1,6898.706666666667
55575552,2973.02,14457.44,3285.86,6905.4400000000005
56099840,2972.52,14455.24,3265.66,6897.806666666666
56624128,2974.36,14455.76,3291.52,6907.213333333333
57148416,2974.96,14453.76,3288.26,6905.66
57672704,2962.68,14446.86,3281.86,6897.133333333333
58196992,2970.4,14455.66,3288.38,6904.8133333333335
58721280,2968.1,14459.28,3275.7000000000003,6901.026666666667
59245568,2966.28,14459.9,3288.94,6905.04
59769856,2963.84,14457.48,3277.4,6899.573333333334
60294144,2966.06,14460.939999999999,3291.4,6906.133333333333
60818432,2966.06,14464.82,3269.3,6900.0599999999995
61342720,2965.94,14467.2,3286.84,6906.66
61867008,2967.12,14466.66,3284.2,6905.993333333333
62391296,2967.2599999999998,14465.98,3289.56,6907.599999999999
62915584,2974.0,14468.18,3290.92,6911.033333333334
63439872,2970.98,14463.58,3286.88,6907.1466666666665
63964160,2957.32,14465.22,3283.42,6901.986666666667
64488448,2967.46,14462.26,3288.4,6906.04
65012736,2962.9,14461.72,3289.62,6904.746666666666
65537024,2968.44,14457.78,3286.3,6904.173333333334
66061312,2974.12,14463.04,3273.94,6903.700000000001
66585600,2969.14,14462.32,3280.22,6903.893333333333
