config,count,mean_ms,std_ms
--gsx=16 --gsy=16 --gsz=2 --bsx=2 --bsy=2 --bsz=2,5,0.053820,0.001375
--gsx=16 --gsy=16 --gsz=4 --bsx=4 --bsy=4 --bsz=4,5,0.172740,0.014754
--gsx=16 --gsy=16 --gsz=4 --bsx=8 --bsy=8 --bsz=2,5,0.297700,0.002112
--gsx=32 --gsy=32 --gsz=2 --bsx=2 --bsy=2 --bsz=2,5,0.092560,0.000541
--gsx=32 --gsy=32 --gsz=4 --bsx=4 --bsy=4 --bsz=4,5,0.629260,0.016500
--gsx=32 --gsy=32 --gsz=8 --bsx=16 --bsy=8 --bsz=4,5,7.365280,0.047216
--gsx=32 --gsy=32 --gsz=8 --bsx=8 --bsy=8 --bsz=4,5,3.742680,0.002027
--gsx=4 --gsy=4 --gsz=2 --bsx=2 --bsy=2 --bsz=2,5,0.055700,0.015173
--gsx=8 --gsy=8 --gsz=2 --bsx=2 --bsy=2 --bsz=2,5,0.044760,0.001218
--gsx=8 --gsy=8 --gsz=4 --bsx=4 --bsy=4 --bsz=2,5,0.061300,0.008058
