config,count,mean_ms,std_ms
--gsx=16 --gsy=16 --bsx=2 --bsy=2,5,0.047880,0.002625
--gsx=16 --gsy=16 --bsx=4 --bsy=4,5,0.050200,0.000510
--gsx=16 --gsy=16 --bsx=8 --bsy=8,5,0.072500,0.000485
--gsx=32 --gsy=32 --bsx=16 --bsy=16,5,0.623140,0.006269
--gsx=32 --gsy=32 --bsx=2 --bsy=2,5,0.062920,0.002793
--gsx=32 --gsy=32 --bsx=4 --bsy=4,5,0.082980,0.001064
--gsx=32 --gsy=32 --bsx=8 --bsy=8,5,0.170480,0.005032
--gsx=4 --gsy=4 --bsx=2 --bsy=2,5,0.043760,0.004826
--gsx=8 --gsy=8 --bsx=2 --bsy=2,5,0.042760,0.000627
--gsx=8 --gsy=8 --bsx=4 --bsy=4,5,0.042740,0.000477
