config,nelem,tpb,count,mean_ms,std_ms
--nelem=1000000 --tpb=1024,1000000,1024,5,5.578540,0.064081
--nelem=1000000 --tpb=128,1000000,128,5,5.533620,0.060341
--nelem=1000000 --tpb=256,1000000,256,5,5.537700,0.017387
--nelem=1000000 --tpb=32,1000000,32,5,6.006360,1.058070
--nelem=1000000 --tpb=512,1000000,512,5,6.727520,2.583432
--nelem=10000000 --tpb=1024,10000000,1024,5,51.797700,4.375655
--nelem=10000000 --tpb=128,10000000,128,5,49.566780,0.371431
--nelem=10000000 --tpb=256,10000000,256,5,49.734680,0.298355
--nelem=10000000 --tpb=32,10000000,32,5,55.065960,11.343492
--nelem=10000000 --tpb=512,10000000,512,5,49.810620,0.486686
--nelem=50000000 --tpb=1024,50000000,1024,5,244.182200,0.661054
--nelem=50000000 --tpb=256,50000000,256,5,244.260080,0.363740
--nelem=50000000 --tpb=32,50000000,32,5,245.397240,0.697080
